         88806525 function calls (86741999 primitive calls) in 61.441 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   61.441   61.441 /home/dvidal1205-ld/Documents/research/AS-Quant/as_quant.py:19(profile_code)
        1    1.118    1.118   56.895   56.895 /home/dvidal1205-ld/Documents/research/AS-Quant/methods.py:180(MakeFullDictionary)
132646/132630    0.124    0.000   17.272    0.000 /usr/lib/python3/dist-packages/pandas/util/_decorators.py:323(wrapper)
431520/431483    2.059    0.000   16.507    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:342(__init__)
    66302    0.073    0.000   10.255    0.000 /usr/lib/python3/dist-packages/pandas/core/strings/accessor.py:121(wrapper)
    66302    0.187    0.000   10.182    0.000 /usr/lib/python3/dist-packages/pandas/core/strings/accessor.py:780(split)
   132672    0.525    0.000    8.897    0.000 /usr/lib/python3/dist-packages/pandas/core/frame.py:3758(__getitem__)
    33172    0.064    0.000    7.913    0.000 /usr/lib/python3/dist-packages/pandas/core/ops/common.py:57(new_method)
    33172    0.027    0.000    7.705    0.000 /usr/lib/python3/dist-packages/pandas/core/arraylike.py:40(__eq__)
    33172    0.183    0.000    7.678    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:6233(_cmp_method)
    66302    0.281    0.000    7.548    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:4341(explode)
    66302    0.116    0.000    6.645    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:5744(dropna)
    66302    0.129    0.000    6.169    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/missing.py:689(remove_na_arraylike)
    66302    0.480    0.000    6.148    0.000 /usr/lib/python3/dist-packages/pandas/core/strings/accessor.py:255(_wrap_result)
    66302    0.215    0.000    5.970    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:6076(astype)
    66302    0.381    0.000    5.469    0.000 /usr/lib/python3/dist-packages/pandas/core/tools/numeric.py:28(to_numeric)
    33172    0.107    0.000    5.382    0.000 /usr/lib/python3/dist-packages/pandas/core/frame.py:3832(_getitem_bool_array)
    66307    0.303    0.000    4.891    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:966(__getitem__)
18294806/17863490    2.615    0.000    4.607    0.000 {built-in method builtins.isinstance}
    33172    0.139    0.000    4.466    0.000 /usr/lib/python3/dist-packages/pandas/core/ops/array_ops.py:231(comparison_op)
    66302    0.080    0.000    4.127    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:447(astype)
      132    4.114    0.031    4.114    0.031 {method 'acquire' of '_thread.lock' objects}
       35    0.000    0.000    4.113    0.118 /usr/lib/python3.11/threading.py:288(wait)
       12    0.000    0.000    4.111    0.343 /usr/lib/python3.11/concurrent/futures/_base.py:428(result)
    33172    0.068    0.000    4.081    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:3894(_take_with_is_copy)
    66507    0.261    0.000    4.049    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:301(apply)
    33172    0.073    0.000    3.981    0.000 /usr/lib/python3/dist-packages/pandas/core/ops/array_ops.py:60(comp_method_OBJECT_ARRAY)
    33172    3.806    0.000    3.806    0.000 {pandas._libs.ops.scalar_compare}
   232449    0.968    0.000    3.609    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:493(sanitize_array)
    66302    0.152    0.000    3.498    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:504(astype)
    33172    0.120    0.000    3.464    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:3873(_take)
    66302    0.153    0.000    3.258    0.000 /usr/lib/python3/dist-packages/pandas/core/strings/object_array.py:309(_str_split)
   663883    1.035    0.000    3.227    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:5904(__setattr__)
    66302    0.267    0.000    3.086    0.000 /usr/lib/python3/dist-packages/pandas/core/strings/object_array.py:39(_str_map)
    66307    0.144    0.000    2.910    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1068(_get_values)
    33177    0.132    0.000    2.851    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:944(take)
    66302    0.160    0.000    2.668    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/astype.py:239(astype_array_safe)
    66302    0.077    0.000    2.627    0.000 /usr/lib/python3/dist-packages/pandas/core/accessor.py:178(__get__)
