chrom	geneName	splicedExonStart	splicedExonEnd	splicedExonReadCount(rc)	splicedExonLength(sl)	othersExonsReadCount(RC)	othersExonsLength(L)	RC - rc	L - sl	splicedExonAverageReadCoverage(n)	otherExonsAverageReadCoverage(N)
chr1	LINC01128	849483	849602	210	120	50545	13620	50335	13500	1.75	3.7285185185185186
chr1	LINC01128	850180	850351	26	172	50545	13620	50519	13448	0.1511627906976744	3.7566180844735277
chr1	SAMD11	939274	939460	663	187	10829	4083	10166	3896	3.5454545454545454	2.609342915811088
chr1	SAMD11	941143	941306	51	164	10829	4083	10778	3919	0.31097560975609756	2.750191375350855
chr1	MIB2	1625545	1625653	1341	109	73128	7887	71787	7778	12.302752293577981	9.229493443044484
chr1	MIB2	1626649	1626754	45	106	73128	7887	73083	7781	0.42452830188679247	9.392494537977123
chr1	TP73	3730926	3731065	4038	140	125180	6783	121142	6643	28.84285714285714	18.236037934668072
chr1	TP73	3731462	3731556	4384	95	125180	6783	120796	6688	46.14736842105263	18.0616028708134
chr1	LINC01777	4422875	4423187	0	313	102	2582	102	2269	0.0	0.04495372410753636
chr1	LINC01777	4423347	4423448	0	102	102	2582	102	2480	0.0	0.04112903225806452
chr1	LINC01646	4572469	4572592	0	124	0	3336	0	3212	0.0	0.0
chr1	LINC01646	4575321	4575450	0	130	0	3336	0	3206	0.0	0.0
chr1	KCNAB2	5995862	5996084	78	223	24733	13510	24655	13287	0.34977578475336324	1.855573116580116
chr1	KCNAB2	6018634	6018835	0	202	24733	13510	24733	13308	0.0	1.8585061617072438
chr1	CAMTA1	6806982	6807088	0	107	1414	9933	1414	9826	0.0	0.14390392835334825
chr1	CAMTA1	6820180	6820250	0	71	1414	9933	1414	9862	0.0	0.14337862502534982
chr1	CAMTA1	6871756	6871840	0	85	1414	9933	1414	9848	0.0	0.14358245329000813
chr1	CAMTA1	6886239	6886346	0	108	1414	9933	1414	9825	0.0	0.14391857506361322
chr1	LNCTAM34A	9187535	9187789	612	255	612	2148	0	1893	2.4	0.0
chr1	LNCTAM34A	9191039	9191124	0	86	612	2148	612	2062	0.0	0.2967992240543162
chr1	TARDBP	11015523	11015646	0	124	102	4648	102	4524	0.0	0.022546419098143235
chr1	TARDBP	11016122	11016254	0	133	102	4648	102	4515	0.0	0.022591362126245847
chr1	AGTRAP	11745802	11745837	0	36	212944	2351	212944	2315	0.0	91.98444924406047
chr1	AGTRAP	11747439	11747545	0	107	212944	2351	212944	2244	0.0	94.89483065953654
chr1	PLOD1	11956916	11957014	0	99	774	5069	774	4970	0.0	0.1557344064386318
chr1	PLOD1	11957089	11957193	0	105	774	5069	774	4964	0.0	0.15592264302981468
chr1	MFN2	11982066	11982114	1156	49	424359	10140	423203	10091	23.591836734693878	41.93865821028639
chr1	MFN2	11988426	11988516	0	91	424359	10140	424359	10049	0.0	42.22897800776197
chr1	MFN2	11981969	11982114	1299	146	424359	10140	423060	9994	8.897260273972602	42.33139883930358
chr1	MFN2	11981973	11982114	1277	142	424359	10140	423082	9998	8.992957746478874	42.316663332666536
chr1	MFN2	11981809	11982114	5343	306	424359	10140	419016	9834	17.46078431372549	42.608907870652835
chr1	MFN2	11988721	11988843	0	123	424359	10140	424359	10017	0.0	42.36388140161725
chr1	MFN2	11982522	11982590	3567	69	424359	10140	420792	10071	51.69565217391305	41.782543938039915
chr1	MFN2	11988781	11988843	0	63	424359	10140	424359	10077	0.0	42.111640369157485
chr1	FHAD1	15383806	15383861	0	56	4423	11501	4423	11445	0.0	0.38645696810834423
chr1	FHAD1	15388050	15388131	357	82	4423	11501	4066	11419	4.353658536585366	0.3560732113144759
chr1	FHAD1	15383158	15383280	0	123	4423	11501	4423	11378	0.0	0.3887326419405871
chr1	FHAD1	15391209	15391263	15	55	4423	11501	4408	11446	0.2727272727272727	0.3851127031277302
chr1	FHAD1	15383155	15383402	0	248	4423	11501	4423	11253	0.0	0.3930507420243491
chr1	FHAD1	15383806	15383930	0	125	4423	11501	4423	11376	0.0	0.3888009845288326
chr1	DDI2	15633797	15633879	0	83	102	11761	102	11678	0.0	0.008734372324028086
