chrom	geneName	splicedExonStart	splicedExonEnd	splicedExonReadCount(rc)	splicedExonLength(sl)	othersExonsReadCount(RC)	othersExonsLength(L)	RC - rc	L - sl	splicedExonAverageReadCoverage(n)	otherExonsAverageReadCoverage(N)
chr1	LINC01409	804775	804840	0	66	32806	6771	32806	6705	0.0	4.892766592095451
chr1	LINC01409	807216	807323	0	108	32806	6771	32806	6663	0.0	4.923607984391415
chr1	LINC01409	803566	803667	329	102	32806	6771	32477	6669	3.2254901960784315	4.869845554056081
chr1	LINC01409	783110	783363	6520	254	32806	6771	26286	6517	25.669291338582678	4.033450974374713
chr1	LINC01409	792881	793041	399	161	32806	6771	32407	6610	2.4782608695652173	4.902723146747353
chr1	LINC01128	852670	852766	0	97	56879	13620	56879	13523	0.0	4.206093322487614
chr1	LINC01128	829002	829104	0	103	56879	13620	56879	13517	0.0	4.2079603462306725
chr1	LINC01128	841199	844498	12235	3300	56879	13620	44644	10320	3.7075757575757575	4.325968992248062
chr1	LINC01128	849483	849602	138	120	56879	13620	56741	13500	1.15	4.203037037037037
chr1	LINC01128	847653	847806	1098	154	56879	13620	55781	13466	7.12987012987013	4.142358532600624
chr1	LINC01128	850180	850351	2187	172	56879	13620	54692	13448	12.715116279069768	4.066924449732302
chr1	LINC01128	841199	841373	918	175	56879	13620	55961	13445	5.2457142857142856	4.1622164373373005
chr1	LINC01128	850177	850351	2187	175	56879	13620	54692	13445	12.497142857142856	4.067831907772406
chr1	SAMD11	931038	931089	0	52	29500	4083	29500	4031	0.0	7.31828330439097
chr1	SAMD11	939274	939460	969	187	29500	4083	28531	3896	5.181818181818182	7.323151950718686
chr1	SAMD11	941143	941306	80	164	29500	4083	29420	3919	0.4878048780487805	7.50701709619801
chr1	SAMD11	939274	939412	880	139	29500	4083	28620	3944	6.330935251798561	7.256592292089249
chr1	SAMD11	941143	941230	33	88	29500	4083	29467	3995	0.375	7.375969962453066
chr1	SAMD11	939271	939460	969	190	29500	4083	28531	3893	5.1	7.328795273567942
chr1	PLEKHN1	973185	973326	204	142	5882	3466	5678	3324	1.4366197183098592	1.7081829121540313
chr1	AGRN	1051031	1051043	0	13	113519	9349	113519	9336	0.0	12.159275921165381
chr1	AL390719.1	1061019	1061117	0	99	51	2217	51	2118	0.0	0.024079320113314446
chr1	TTLL10	1196385	1196488	2783	104	17704	4015	14921	3911	26.759615384615383	3.815136793658911
chr1	SCNN1D	1285570	1285664	0	95	51188	3430	51188	3335	0.0	15.34872563718141
chr1	PUSL1	1308914	1308972	0	59	219609	1468	219609	1409	0.0	155.86160397444996
chr1	CPTP	1326835	1327032	116668	198	744389	2559	627721	2361	589.2323232323232	265.87081745023295
chr1	ATAD3C	1454344	1454500	4004	157	178770	3768	174766	3611	25.503184713375795	48.39822763777347
chr1	ATAD3B	1487862	1487914	1006	53	250861	6839	249855	6786	18.9811320754717	36.81918656056587
chr1	ATAD3A	1520547	1520617	0	71	145596	3362	145596	3291	0.0	44.24065633546034
chr1	ATAD3A	1519491	1519571	76	81	145596	3362	145520	3281	0.9382716049382716	44.35233160621762
chr1	ATAD3A	1527160	1527238	0	79	145596	3362	145596	3283	0.0	44.34846177276881
chr1	MIB2	1624990	1625185	680	196	67209	7887	66529	7691	3.4693877551020407	8.650240540891952
chr1	MIB2	1625557	1625653	1826	97	67209	7887	65383	7790	18.824742268041238	8.393196405648267
chr1	MIB2	1626649	1626754	323	106	67209	7887	66886	7781	3.047169811320755	8.596067343529109
chr1	MIB2	1629384	1629566	0	183	67209	7887	67209	7704	0.0	8.723909657320872
chr1	MIB2	1625545	1625653	1994	109	67209	7887	65215	7778	18.293577981651374	8.38454615582412
chr1	MIB2	1626366	1626754	1632	389	67209	7887	65577	7498	4.195372750642673	8.745932248599626
chr1	MMP23B	1632980	1633120	606	141	110201	2013	109595	1872	4.297872340425532	58.54433760683761
chr1	CALML6	1915684	1915735	0	52	102	1239	102	1187	0.0	0.08593091828138164
chr1	CALML6	1916440	1916615	0	176	102	1239	102	1063	0.0	0.09595484477892756
chr1	GABRD	2029110	2029266	0	157	51	4393	51	4236	0.0	0.012039660056657223
chr1	GABRD	2023796	2023890	0	95	51	4393	51	4298	0.0	0.011865984178687762
chr1	GABRD	2029110	2029408	0	299	51	4393	51	4094	0.0	0.012457254518808011
chr1	PRKCZ	2056483	2056573	0	91	31496	7604	31496	7513	0.0	4.192200186343671
chr1	PRKCZ	2146026	2146108	0	83	31496	7604	31496	7521	0.0	4.187740991889377
chr1	PRKCZ	2098346	2098555	357	210	31496	7604	31139	7394	1.7	4.211387611576955
chr1	PRKCZ	2145337	2145511	97	175	31496	7604	31399	7429	0.5542857142857143	4.226544622425629
chr1	PRKCZ	2145388	2145511	49	124	31496	7604	31447	7480	0.3951612903225806	4.204144385026738
chr1	PRKCZ	2181831	2181914	248	84	31496	7604	31248	7520	2.9523809523809526	4.1553191489361705
chr1	AL590822.3	2317610	2317729	808	120	60378	5798	59570	5678	6.733333333333333	10.49137020077492
chr1	RER1	2399414	2399514	0	101	0	3838	0	3737	0.0	0.0
chr1	RER1	2395607	2395648	0	42	0	3838	0	3796	0.0	0.0
chr1	PLCH2	2497501	2497609	0	109	16039	6815	16039	6706	0.0	2.391738741425589
chr1	PLCH2	2503616	2503643	18	28	16039	6815	16021	6787	0.6428571428571429	2.3605422130543685
chr1	PRXL2B	2588549	2588625	0	77	0	3060	0	2983	0.0	0.0
chr1	PRXL2B	2588529	2588625	0	97	0	3060	0	2963	0.0	0.0
chr1	PRDM16	3431965	3432140	83553	176	692674	9787	609121	9611	474.73295454545456	63.37748413276454
chr1	TPRG1L	3625712	3625889	0	178	0	2406	0	2228	0.0	0.0
chr1	TP73	3729999	3730148	0	150	151484	6783	151484	6633	0.0	22.837931554349463
chr1	TP73	3731462	3731556	7019	95	151484	6783	144465	6688	73.88421052631578	21.60062799043062
chr1	TP73	3730926	3731065	16632	140	151484	6783	134852	6643	118.8	20.2998645190426
chr1	DFFB	3873013	3873137	0	125	0	3880	0	3755	0.0	0.0
chr1	DFFB	3866283	3866398	0	116	0	3880	0	3764	0.0	0.0
chr1	DFFB	3860419	3860506	0	88	0	3880	0	3792	0.0	0.0
chr1	LINC01777	4423053	4423187	0	135	102	2582	102	2447	0.0	0.04168369431957499
chr1	LINC01777	4423347	4423448	0	102	102	2582	102	2480	0.0	0.04112903225806452
chr1	LINC01777	4422759	4423187	0	429	102	2582	102	2153	0.0	0.04737575476079889
chr1	LINC01777	4422875	4423187	0	313	102	2582	102	2269	0.0	0.04495372410753636
chr1	LINC01646	4572469	4572592	0	124	0	3336	0	3212	0.0	0.0
chr1	LINC01646	4575321	4575450	0	130	0	3336	0	3206	0.0	0.0
chr1	LINC01646	4582276	4582574	0	299	0	3336	0	3037	0.0	0.0
chr1	KCNAB2	6041830	6041872	0	43	42121	13510	42121	13467	0.0	3.12771961090072
chr1	KCNAB2	6040516	6040645	0	130	42121	13510	42121	13380	0.0	3.1480568011958145
chr1	KCNAB2	6018634	6018835	0	202	42121	13510	42121	13308	0.0	3.165088668470093
chr1	KCNAB2	6051510	6051754	2600	245	42121	13510	39521	13265	10.612244897959183	2.979344138710893
chr1	KCNAB2	5995862	5996084	82	223	42121	13510	42039	13287	0.36771300448430494	3.1639196206818694
chr1	KCNAB2	6085739	6085793	0	55	42121	13510	42121	13455	0.0	3.130509104422148
chr1	KCNAB2	6097516	6097555	0	40	42121	13510	42121	13470	0.0	3.1270230141054194
chr1	KCNAB2	6091262	6091307	0	46	42121	13510	42121	13464	0.0	3.1284165181224006
chr1	KCNAB2	6073353	6073384	80	32	42121	13510	42041	13478	2.5	3.1192313399614187
chr1	KCNAB2	6027355	6027459	7940	105	42121	13510	34181	13405	75.61904761904762	2.549869451697128
chr1	KCNAB2	6095938	6096204	0	267	42121	13510	42121	13243	0.0	3.1806237257419014
chr1	ESPN	6448892	6449091	32	200	10054	6800	10022	6600	0.16	1.5184848484848485
chr1	ESPN	6450443	6450470	0	28	10054	6800	10054	6772	0.0	1.484642646190195
chr1	TAS1R1	6574630	6575392	0	763	671	2770	671	2007	0.0	0.33432984554060785
chr1	ZBTB48	6580540	6581299	195	760	213031	3499	212836	2739	0.2565789473684211	77.70573201898503
chr1	THAP3	6628498	6628691	0	194	408	4079	408	3885	0.0	0.10501930501930502
chr1	THAP3	6629642	6629724	0	83	408	4079	408	3996	0.0	0.1021021021021021
