chrom	geneName	splicedExonStart	splicedExonEnd	splicedExonReadCount(rc)	splicedExonLength(sl)	othersExonsReadCount(RC)	othersExonsLength(L)	RC - rc	L - sl	splicedExonAverageReadCoverage(n)	otherExonsAverageReadCoverage(N)
chr1	CAPN8	182628533	182628597	0	65	0	3792	0	3727	0.0	0.0
chr1	CDK15	59258702	59258704	0	3	0	1611	0	1608	0.0	0.0
chr1	CAMSAP2	136274874	136274900	0	27	0	7903	0	7876	0.0	0.0
chr1	MCMDC2	9912113	9912154	19	42	53496	4267	53477	4225	0.4523809523809524	12.657278106508876
chr1	ALS2CR12	58679994	58679997	0	4	79	1594	79	1590	0.0	0.04968553459119497
chr1	PRRC2C	162723282	162723287	68	6	7887	11137	7819	11131	11.333333333333334	0.7024526098284072
chr1	2810459M11RIK	86048587	86048589	21878	3	1377856	3334	1355978	3331	7292.666666666667	407.0783548483939
chr1	PLCD4	74562020	74562053	0	34	0	3287	0	3253	0.0	0.0
chr1	PLCD4	74565259	74565286	0	28	0	3287	0	3259	0.0	0.0
chr1	TAF1A	183400581	183400601	0	21	0	3108	0	3087	0.0	0.0
chr1	EPHX1	180994046	180994087	0	42	680	1748	680	1706	0.0	0.39859320046893315
chr1	SMAP1	23866294	23866297	0	4	28552	3480	28552	3476	0.0	8.21403912543153
chr1	ENAH	181921769	181922500	0	732	0	12646	0	11914	0.0	0.0
chr1	ZCCHC2	106027387	106027401	0	15	0	6691	0	6676	0.0	0.0
chr1	DIEXF	193113981	193114002	0	22	68385	5560	68385	5538	0.0	12.348320693391116
chr1	SCLY	91302768	91302771	0	4	4714	3646	4714	3642	0.0	1.2943437671609006
chr1	GIN1	97782926	97783192	0	267	3	3413	3	3146	0.0	0.0009535918626827717
chr1	DTL	191568405	191568411	0	7	0	9223	0	9216	0.0	0.0
chr1	TSGA10	37841309	37841352	0	44	0	4952	0	4908	0.0	0.0
chr1	SLC30A10	185456313	185456350	0	38	0	5877	0	5839	0.0	0.0
chr1	MAP2	66401443	66401445	0	3	0	12959	0	12956	0.0	0.0
chr1	TMEM14A	21229407	21229589	0	183	397	1356	397	1173	0.0	0.33844842284739984
chr1	FER1L5	36401315	36401352	0	38	82625	6409	82625	6371	0.0	12.968921676345943
chr1	FER1L5	36419978	36420009	0	32	82625	6409	82625	6377	0.0	12.956719460561393
chr1	TMEM183A	134355714	134355716	0	3	0	3177	0	3174	0.0	0.0
chr1	SPATA3	86024326	86024328	0	3	3746	1607	3746	1604	0.0	2.3354114713216956
chr1	ALS2CR11	59068724	59068727	0	4	0	2144	0	2140	0.0	0.0
chr1	LIN9	180665782	180665807	0	26	1383	6565	1383	6539	0.0	0.21150022939287352
chr1	LIN9	180668763	180668764	2	2	1383	6565	1381	6563	1.0	0.21042206308090813
chr1	TEX35	157099404	157099406	0	3	0	1031	0	1028	0.0	0.0
chr1	NAV1	135468895	135468897	0	3	0	13721	0	13718	0.0	0.0
chr1	SEPT2	93489123	93489126	0	4	0	3347	0	3343	0.0	0.0
chr1	ING5	93811764	93811780	1035	17	160571	4563	159536	4546	60.88235294117647	35.093708754949404
chr1	SPATS2L	57946067	57946069	0	3	102	4060	102	4057	0.0	0.0251417303426177
chr1	SP110	85585053	85585055	0	3	0	3281	0	3278	0.0	0.0
chr1	CD84	171884584	171884586	0	3	0	6262	0	6259	0.0	0.0
chr1	CEP170	176750053	176750160	0	108	0	10060	0	9952	0.0	0.0
