chrom	geneName	splicedExonStart	splicedExonEnd	splicedExonReadCount(rc)	splicedExonLength(sl)	othersExonsReadCount(RC)	othersExonsLength(L)	RC - rc	L - sl	splicedExonAverageReadCoverage(n)	otherExonsAverageReadCoverage(N)
chr1	LINC01128	851926	852766	741	841	56879	13620	56138	12779	0.8810939357907254	4.392988496752484
chr1	PLEKHN1	974441	975865	2193	1425	5882	3466	3689	2041	1.5389473684210526	1.8074473297403233
chr1	PLEKHN1	970685	971006	2325	322	5882	3466	3557	3144	7.220496894409938	1.1313613231552162
chr1	SCNN1D	1287507	1287836	17334	330	51188	3430	33854	3100	52.527272727272724	10.920645161290322
chr1	MRPL20-AS1	1399519	1400303	102	785	153	2407	51	1622	0.12993630573248408	0.031442663378545004
chr1	MIB2	1629384	1629566	0	183	67209	7887	67209	7704	0.0	8.723909657320872
chr1	MIB2	1626836	1627207	459	372	67209	7887	66750	7515	1.2338709677419355	8.882235528942116
chr1	MMP23B	1632980	1633355	912	376	110201	2013	109289	1637	2.425531914893617	66.76175931582162
chr1	MMP23B	1633747	1634099	22918	353	110201	2013	87283	1660	64.92351274787535	52.58012048192771
chr1	DFFB	3883506	3885429	0	1924	0	3880	0	1956	0.0	0.0
chr1	LINC01646	4593051	4594009	0	959	0	3336	0	2377	0.0	0.0
chr1	KCNAB2	6095529	6096756	0	1228	42121	13510	42121	12282	0.0	3.429490311024263
chr1	KCNAB2	6097268	6097555	153	288	42121	13510	41968	13222	0.53125	3.174103766449856
chr1	KCNAB2	6085203	6086363	360	1161	42121	13510	41761	12349	0.31007751937984496	3.38173131427646
chr1	ESPN	6448640	6449091	32	452	10054	6800	10022	6348	0.07079646017699115	1.5787649653434153
chr1	PER3	7829836	7830161	27	326	22788	7397	22761	7071	0.08282208588957055	3.218922358930844
chr1	TARDBP	11023192	11024183	102	992	153	4648	51	3656	0.1028225806451613	0.013949671772428883
chr1	MFN2	11981809	11982114	2801	306	419893	10140	417092	9834	9.15359477124183	42.4132601179581
chr1	PLEKHM2	15727013	15727832	0	820	1533	4154	1533	3334	0.0	0.45980803839232154
chr1	NECAP2	16458841	16460077	462012	1237	1967543	4594	1505531	3357	373.4939369442199	448.475126601132
chr1	SLC66A1	19312325	19312889	0	565	0	2695	0	2130	0.0	0.0
chr1	EPHB2	22913461	22921500	0	8040	0	11673	0	3633	0.0	0.0
chr1	LYPLA2	23794223	23794600	307	378	790	1850	483	1472	0.8121693121693122	0.328125
chr1	SRRM1	24652433	24652628	0	196	8136	5651	8136	5455	0.0	1.4914757103574703
chr1	SRRM1	24670119	24670315	0	197	8136	5651	8136	5454	0.0	1.4917491749174918
chr1	ZNF593	26170417	26170873	51	457	51	734	0	277	0.11159737417943107	0.0
